index,num,name,blog or review,blog name,like_count_list,command_count_list,img_count,neighber_count,blog review
40,41,배곧 또잇카페 배곧점,블로그 리뷰,[배곧카페] 또잇카페 / 오션뷰를 볼 수 있는 배곧 신상 카페,3,0,11,57,[]
41,42,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 근처 노을 맛집 [또잇카페 | TTOEATCAFE ],75,41,39,1812,[]
42,43,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 뷰 맛집인 큰 카페 ‘또잇카페’,10,4,20,405,['간만']
43,44,배곧 또잇카페 배곧점,블로그 리뷰,"[시흥배곧디저트카페/또잇카페]이쁜 노을이 보이는, 포토존 가득한, 신상카페",28,18,76,563,[]
44,45,배곧 또잇카페 배곧점,블로그 리뷰,모든 것이 완벽했던 또잇카페배곧점,5,0,61,251,"['몇', '전', '꼭', '보고', '음식', '아침']"
45,1,배곧 카츠오모이,블로그 리뷰,"시흥/배곧 맛집, 카츠오모이 본점 진짜 맛있다!",23,7,19,5050,"['카츠', '모이']"
46,2,배곧 카츠오모이,블로그 리뷰,"인생돈까스 등극, 배곧 맛집 인정 '카츠오모이'",5,5,14,236,"['카츠', '모이', '30분']"
47,3,배곧 카츠오모이,블로그 리뷰,"[배곧/경기도]카츠오모이 안심, 등심 냠냠",12,9,12,252,[]
48,4,배곧 카츠오모이,블로그 리뷰,"카츠오모이 배곧본점 :: 웨이팅 필수, 인생 돈가스 맛집",28,10,22,2013,[]
49,5,배곧 카츠오모이,블로그 리뷰,"카츠오모이 본점, 시흥 배곧",13,2,20,699,['친한']
50,6,배곧 카츠오모이,블로그 리뷰,시흥 배곧신도시 돈까스 맛집 카츠오모이,64,32,14,1698,"['낚시', '박']"
51,7,배곧 카츠오모이,블로그 리뷰,"배곧 카츠오모이, 줄서서 먹는 돈까스 맛집!",16,15,23,2724,"['줄', '먹는']"
52,8,배곧 카츠오모이,블로그 리뷰,시흥 배곧 카츠오모이,12,5,12,618,"['카츠', '모이', '소진', '조기', '마', '인스타그램', '월요일', '주차', '전', '오', '갔다가', '올린']"
53,9,배곧 카츠오모이,블로그 리뷰,[배곧 맛집] 웨이팅해도 후회 안 할 인생돈까스 맛집 카츠오모이,24,4,17,2806,"['카츠', '모', '곧']"
54,10,배곧 카츠오모이,블로그 리뷰,[Mystery Life-ing] 시흥/배곧 :: 카츠오모이 :: 등심과 안심 돈까스 & 카레밥,10,2,25,297,['최근']
55,11,배곧 카츠오모이,블로그 리뷰,배곧 맛집 - 카츠오모이 (돈까스 맛집),8,1,6,253,"['주소', '경기', '서울', '278', '길']"
56,12,배곧 카츠오모이,블로그 리뷰,인생 돈까스 맛집을 만나다 - '배곧 카츠오모이',0,0,15,44,['가봐야지가']
57,13,배곧 카츠오모이,블로그 리뷰,배곧 신도시 돈가스 맛집 가츠오모이,5,3,10,66,[]
58,14,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 돈까스 먹으러 웨이팅해봄,9,6,19,290,[]
59,15,배곧 카츠오모이,블로그 리뷰,돈카츠 맛집 입안에 촉촉한 육즈비 가 내립니다.기가막혀요,8,4,24,426,"['소진', '너', '항상', '아파', '재료']"
60,16,배곧 카츠오모이,블로그 리뷰,배곧맛집 줄서서 먹는 돈가스 맛집 카츠오모이,3,4,6,311,[]
61,17,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 / 두툼한 수제 일식 돈까스,14,9,14,972,['영화']
62,18,배곧 카츠오모이,블로그 리뷰,배곧 돈가스 맛있는 집- 카츠오모이,6,2,12,202,[]
63,19,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 본점 : 드디어 먹고 왔다 + 평일 웨이팅 꿀팁 !,5,0,16,351,"['3일', '여름', '회사', '연중', '3일', '붙여', '조금', '출산휴가', '들어갈', '있기', '그냥', '만', '쓰기', '어차피', '때문', '데', '가니', '이럴', '웨이']"
64,20,배곧 카츠오모이,블로그 리뷰,카츠오모이 :: 배곧 돈까스 맛집찾는다면 이곳 후회안할듯,11,7,22,2564,"['내', '주고', '진짜']"
65,21,배곧 카츠오모이,블로그 리뷰,카츠오모이 시흥시 맛집 배곧맛집 돈까스 맛집임 진짜  등심+안심 13000원 드세요  ,0,0,16,23,"['자꾸', '내', '나와서', '좀']"
66,22,배곧 카츠오모이,블로그 리뷰,배곧 :: 카츠오모이 - 돈까스,3,7,6,322,"['개미', '미치게', '반', '하', '쳐', '등심', '안심', '콜라', '등심', '부분', '그런', '같은', '나고', '괜찮은데', '그', '아', '맛', '집은', '즐맛', '야', '즐', '존', '라', '오', '못', '어쨋', '비싸다는', '소금', '명', '맛있었고', '리필', '해주고', '다른', '집', '맛있는', '고', '좀', '좋겠고']"
67,23,배곧 카츠오모이,블로그 리뷰,시흥시 배곧 - 카츠오모이,4,2,6,199,"['짝꿍', '엄청난']"
68,24,배곧 카츠오모이,블로그 리뷰,배곧맛집 '카츠오모이' 안심돈가스 후기&이용 꿀팁,27,13,15,1278,"['방학', '전']"
